track,artist,v,tau,chi,zeta,C(4),C(8),ze_score,ze_grade,n_notes,n_events,v_pitch,v_rhythm,v_dynamics,v_harmony,chart_position,chart_year
hook_3,,-0.1429,0.3509,0.0,2.4566,0.4048,0.0,21.6,★ Низкий,8,7,0.4286,-0.1429,-0.7143,-0.4286,,
groove_house,,0.4839,0.1663,0.4348,0.3437,0.8736,0.7472,36.9,★ Низкий,32,31,0.0323,-0.0323,-0.0323,-0.0323,,
hook_2,,-0.1429,0.3509,2.0,2.4566,-0.1786,0.0,31.6,★ Низкий,8,7,-0.1429,-0.1429,0.1429,-0.7143,,
superhit_4,,-0.3785,0.0903,0.2373,0.2384,0.5611,0.5671,15.7,☆ Не хит,960,959,-0.5224,-0.5016,-0.512,-0.6371,,
groove_dembow,,0.3191,0.1666,0.7333,0.5219,-0.431,-0.4427,39.8,★ Низкий,48,47,-0.6596,-0.3191,0.1915,-0.3617,,
superhit_2,,-0.4098,0.0884,0.2135,0.2156,0.5515,0.5427,15.5,☆ Не хит,960,959,-0.537,-0.5016,-0.5162,-0.6496,,
hook_1,,-0.1429,0.3509,1.5,2.4566,-0.1786,0.0,31.6,★ Низкий,8,7,-0.1429,-0.1429,0.1429,-0.7143,,
superhit_9,,-0.3889,0.0896,0.2768,0.2305,0.5653,0.5385,15.7,☆ Не хит,960,959,-0.5725,-0.5016,-0.5182,-0.5996,,
superhit_3,,-0.3764,0.0904,0.1356,0.2401,0.5604,0.5339,15.6,☆ Не хит,960,959,-0.5349,-0.5016,-0.5245,-0.6559,,
superhit_1,,-0.3848,0.0899,0.2721,0.2336,0.5312,0.5029,15.3,☆ Не хит,960,959,-0.537,-0.5016,-0.5162,-0.5892,,
hook_4,,0.1429,0.3509,0.75,2.4566,0.1548,0.0,38.2,★ Низкий,8,7,0.1429,-0.1429,-0.1429,1.0,,
groove_funk,,0.1795,0.1848,1.0909,1.0295,0.1488,-0.534,20.0,★ Низкий,40,39,-0.1795,-0.2308,0.1795,-0.2308,,
groove_trap,,0.3191,0.1666,0.3667,0.5219,0.2,0.2206,19.8,☆ Не хит,48,47,-0.6596,-0.0213,-0.0213,-0.3617,,
superhit_7,,-0.4202,0.0877,0.4,0.2087,0.5063,0.548,15.5,☆ Не хит,960,959,-0.5766,-0.5016,-0.5182,-0.6371,,
superhit_0,,-0.4035,0.0888,0.2128,0.2199,0.4995,0.5306,15.3,☆ Не хит,960,959,-0.5662,-0.5016,-0.4932,-0.683,,
superhit_6,,-0.4119,0.0882,0.3226,0.2142,0.5456,0.5382,15.5,☆ Не хит,960,959,-0.5537,-0.5016,-0.5099,-0.5996,,
hook_0,,0.7143,0.2108,0.6,0.2951,-0.0952,0.0,14.9,☆ Не хит,8,7,0.1429,-0.1429,0.1429,0.4286,,
superhit_5,,-0.4181,0.0878,0.5072,0.21,0.5326,0.51,22.5,★ Низкий,960,959,-0.5537,-0.5016,-0.5162,-0.635,,
groove_hiphop,,0.5897,0.1385,0.4138,0.2349,-0.22,-0.182,11.8,☆ Не хит,40,39,-0.5897,-0.1795,0.1795,-0.2308,,
superhit_8,,-0.4348,0.0867,0.2985,0.1994,0.4832,0.5168,15.2,☆ Не хит,960,959,-0.5704,-0.5016,-0.512,-0.6976,,
mozart_free,,-0.0236,0.143,0.678,6.055,0.0546,0.0077,43.5,★★ Средний,128,127,-0.0394,-0.5118,-0.1811,-0.1969,,
bach_free,,0.0866,0.1423,0.7576,1.6431,0.1747,-0.0649,41.2,★★ Средний,128,127,-0.0394,-0.4803,-0.0551,-0.1969,,
orff_free,,-0.1181,0.1416,1.2963,1.1993,0.0272,0.0305,35.0,★ Низкий,128,127,-0.2441,-0.5118,-0.1654,-0.1496,,
