track,artist,v,tau,chi,zeta,C(4),C(8),ze_score,ze_grade,n_notes,n_events,v_pitch,v_rhythm,v_dynamics,v_harmony,chart_position,chart_year
track_0,Artist_0,-0.5031,0.1103,1.25,0.2193,0.1019,0.0104,35.0,★ Низкий,162,161,0.0,0.0,0.0,0.0,55,
track_1,Artist_0,0.2577,0.1442,0.7273,0.5594,-0.1842,0.001,28.8,★ Низкий,98,97,0.0,0.0,0.0,0.0,100,
track_2,Artist_0,0.1429,0.1572,1.0811,1.1005,0.105,-0.0779,35.0,★ Низкий,78,77,0.0,0.0,0.0,0.0,36,
track_3,Artist_0,-0.0244,0.144,1.1864,5.9031,0.1047,0.2357,35.0,★ Низкий,124,123,0.0,0.0,0.0,0.0,63,
track_4,Artist_0,0.2195,0.139,0.8219,0.6332,-0.19,0.0209,34.3,★ Низкий,124,123,0.0,0.0,0.0,0.0,59,
track_5,Artist_0,-0.0811,0.1277,1.1,1.5748,0.1543,-0.0091,35.0,★ Низкий,223,222,0.0,0.0,0.0,0.0,75,
track_6,Artist_0,-0.2919,0.1217,0.7143,0.4168,0.0284,-0.0226,44.0,★★ Средний,210,209,0.0,0.0,0.0,0.0,32,
track_7,Artist_0,-0.5172,0.111,1.5152,0.2147,-0.0361,-0.1682,35.0,★ Низкий,146,145,0.0,0.0,0.0,0.0,74,
track_8,Artist_0,-0.1736,0.1414,1.4286,0.8146,0.2291,0.0577,35.0,★ Низкий,122,121,0.0,0.0,0.0,0.0,91,
track_9,Artist_0,-0.6575,0.0881,1.6129,0.134,0.0223,-0.0857,35.0,★ Низкий,182,181,0.0,0.0,0.0,0.0,24,
track_10,Artist_0,-0.11,0.1286,1.2903,1.1687,0.0913,-0.023,35.0,★ Низкий,210,209,0.0,0.0,0.0,0.0,68,
track_11,Artist_0,-0.5618,0.1015,1.3158,0.1806,-0.0939,-0.093,20.0,★ Низкий,179,178,0.0,0.0,0.0,0.0,81,
track_12,Artist_0,0.0109,0.1329,0.989,12.2272,0.1303,-0.0651,35.0,★ Низкий,185,184,0.0,0.0,0.0,0.0,42,
track_13,Artist_0,0.1163,0.1412,1.0448,1.2146,0.1545,-0.0169,35.0,★ Низкий,130,129,0.0,0.0,0.0,0.0,17,
track_14,Artist_0,-0.1111,0.1527,1.9091,1.374,-0.0206,0.2039,35.0,★ Низкий,91,90,0.0,0.0,0.0,0.0,35,
track_15,Artist_0,-0.0862,0.145,1.4286,1.6824,0.1471,-0.0269,35.0,★ Низкий,117,116,0.0,0.0,0.0,0.0,32,
track_16,Artist_0,0.1484,0.1352,1.0714,0.9114,0.1062,-0.1128,35.0,★ Низкий,156,155,0.0,0.0,0.0,0.0,54,
track_17,Artist_0,-0.1531,0.1291,0.7692,0.8434,-0.0872,-0.0579,40.4,★★ Средний,197,196,0.0,0.0,0.0,0.0,56,
track_18,Artist_0,-0.0459,0.1475,1.3043,3.2161,0.0229,0.0963,35.0,★ Низкий,110,109,0.0,0.0,0.0,0.0,74,
track_19,Artist_0,-0.0847,0.1262,1.3889,1.4892,0.1741,0.0793,35.0,★ Низкий,237,236,0.0,0.0,0.0,0.0,11,
track_20,Artist_1,-0.4597,0.1058,1.5873,0.2302,0.0251,0.0153,35.0,★ Низкий,249,248,0.0,0.0,0.0,0.0,83,
track_21,Artist_1,0.1048,0.1478,0.7143,1.4104,-0.0232,-0.0276,44.0,★★ Средний,106,105,0.0,0.0,0.0,0.0,45,
track_22,Artist_1,0.2245,0.1456,0.9091,0.6487,-0.153,0.043,28.9,★ Низкий,99,98,0.0,0.0,0.0,0.0,46,
track_23,Artist_1,0.1971,0.1369,0.3947,0.6947,-0.101,-0.1629,24.6,★ Низкий,138,137,0.0,0.0,0.0,0.0,100,
track_24,Artist_1,0.0939,0.1252,0.4511,1.3336,0.0774,-0.0396,28.4,★ Низкий,246,245,0.0,0.0,0.0,0.0,49,
track_25,Artist_1,-0.4843,0.1126,1.3889,0.2325,-0.018,-0.0258,35.0,★ Низкий,160,159,0.0,0.0,0.0,0.0,100,
track_26,Artist_1,-0.5276,0.0987,1.3793,0.1871,-0.0265,-0.0481,35.0,★ Низкий,255,254,0.0,0.0,0.0,0.0,24,
track_27,Artist_1,-0.1179,0.1263,0.8421,1.0711,-0.0021,-0.0399,35.5,★ Низкий,230,229,0.0,0.0,0.0,0.0,39,
track_28,Artist_1,-0.5165,0.1226,2.7273,0.2374,0.0249,-0.0346,35.0,★ Низкий,92,91,0.0,0.0,0.0,0.0,1,
track_29,Artist_1,-0.5961,0.0947,0.9756,0.1589,-0.0136,-0.0735,20.0,★ Низкий,204,203,0.0,0.0,0.0,0.0,100,
track_30,Artist_1,-0.602,0.0941,1.5,0.1563,-0.0225,-0.015,20.0,★ Низкий,202,201,0.0,0.0,0.0,0.0,91,
track_31,Artist_1,-0.0909,0.1645,1.7241,1.809,-0.0672,-0.0955,35.0,★ Низкий,67,66,0.0,0.0,0.0,0.0,38,
track_32,Artist_1,-0.5366,0.1228,2.1053,0.2289,0.1632,0.0274,35.0,★ Низкий,83,82,0.0,0.0,0.0,0.0,58,
track_33,Artist_1,-0.0622,0.1294,0.8889,2.0801,0.0765,-0.1361,32.4,★ Низкий,210,209,0.0,0.0,0.0,0.0,81,
track_34,Artist_1,-0.1313,0.1294,1.0843,0.9857,0.063,0.0626,35.0,★ Низкий,199,198,0.0,0.0,0.0,0.0,29,
track_35,Artist_1,-0.1724,0.1276,1.5476,0.7403,0.0603,0.1325,35.0,★ Низкий,204,203,0.0,0.0,0.0,0.0,22,
track_36,Artist_1,-0.1837,0.1355,1.6071,0.7377,-0.0096,-0.0553,35.0,★ Низкий,148,147,0.0,0.0,0.0,0.0,70,
track_37,Artist_1,0.173,0.124,0.6015,0.7169,-0.0516,-0.1259,38.4,★ Низкий,238,237,0.0,0.0,0.0,0.0,52,
track_38,Artist_1,0.0,0.1279,1.1712,20.0,-0.0088,0.0708,35.0,★ Низкий,227,226,0.0,0.0,0.0,0.0,76,
track_39,Artist_1,-0.1724,0.1427,1.5556,0.8275,0.0038,-0.2104,35.0,★ Низкий,117,116,0.0,0.0,0.0,0.0,89,
track_40,Artist_2,-0.0111,0.1335,1.0125,12.012,-0.0556,0.0328,35.0,★ Низкий,181,180,0.0,0.0,0.0,0.0,44,
track_41,Artist_2,0.0375,0.1364,0.625,3.6383,-0.0126,0.0264,40.0,★★ Средний,161,160,0.0,0.0,0.0,0.0,81,
track_42,Artist_2,0.1327,0.1262,0.7258,0.951,-0.0633,-0.0714,43.3,★★ Средний,227,226,0.0,0.0,0.0,0.0,48,
track_43,Artist_2,0.2222,0.1563,0.6818,0.7031,-0.0321,0.0592,41.4,★★ Средний,73,72,0.0,0.0,0.0,0.0,51,
track_44,Artist_2,-0.2695,0.1283,1.3333,0.476,0.1622,-0.0651,35.0,★ Низкий,168,167,0.0,0.0,0.0,0.0,91,
track_45,Artist_2,-0.1061,0.1408,1.3793,1.3276,0.077,0.046,35.0,★ Низкий,133,132,0.0,0.0,0.0,0.0,58,
track_46,Artist_2,-0.122,0.1556,1.4286,1.2759,-0.0684,-0.0413,35.0,★ Низкий,83,82,0.0,0.0,0.0,0.0,74,
track_47,Artist_2,-0.0458,0.1376,1.1111,3.0072,0.0169,0.0942,35.0,★ Низкий,154,153,0.0,0.0,0.0,0.0,52,
track_48,Artist_2,0.1133,0.1292,0.3604,1.1407,0.0217,0.0813,22.4,★ Низкий,204,203,0.0,0.0,0.0,0.0,100,
track_49,Artist_2,-0.025,0.1581,1.4595,6.3243,-0.1007,0.0506,35.0,★ Низкий,81,80,0.0,0.0,0.0,0.0,88,
track_50,Artist_2,-0.5579,0.1007,0.9231,0.1805,-0.0317,-0.0547,30.1,★ Низкий,191,190,0.0,0.0,0.0,0.0,50,
