track,peak_position,year,artist
track_0,55,2020,Artist_0
track_1,100,2020,Artist_0
track_2,36,2021,Artist_0
track_3,63,2023,Artist_0
track_4,59,2024,Artist_0
track_5,75,2020,Artist_0
track_6,32,2022,Artist_0
track_7,74,2024,Artist_0
track_8,91,2021,Artist_0
track_9,24,2024,Artist_0
track_10,68,2023,Artist_0
track_11,81,2021,Artist_0
track_12,42,2022,Artist_0
track_13,17,2022,Artist_0
track_14,35,2020,Artist_0
track_15,32,2022,Artist_0
track_16,54,2024,Artist_0
track_17,56,2021,Artist_0
track_18,74,2024,Artist_0
track_19,11,2021,Artist_0
track_20,83,2023,Artist_1
track_21,45,2020,Artist_1
track_22,46,2021,Artist_1
track_23,100,2020,Artist_1
track_24,49,2024,Artist_1
track_25,100,2020,Artist_1
track_26,24,2024,Artist_1
track_27,39,2024,Artist_1
track_28,1,2021,Artist_1
track_29,100,2020,Artist_1
track_30,91,2021,Artist_1
track_31,38,2023,Artist_1
track_32,58,2023,Artist_1
track_33,81,2021,Artist_1
track_34,29,2024,Artist_1
track_35,22,2022,Artist_1
track_36,70,2020,Artist_1
track_37,52,2022,Artist_1
track_38,76,2021,Artist_1
track_39,89,2024,Artist_1
track_40,44,2024,Artist_2
track_41,81,2021,Artist_2
track_42,48,2023,Artist_2
track_43,51,2021,Artist_2
track_44,91,2021,Artist_2
track_45,58,2023,Artist_2
track_46,74,2024,Artist_2
track_47,52,2022,Artist_2
track_48,100,2020,Artist_2
track_49,88,2023,Artist_2
track_50,50,2020,Artist_2
track_51,61,2021,Artist_2
track_52,72,2022,Artist_2
track_53,88,2023,Artist_2
track_54,44,2024,Artist_2
track_55,79,2024,Artist_2
track_56,34,2024,Artist_2
track_57,80,2020,Artist_2
track_58,100,2020,Artist_2
track_59,49,2024,Artist_2
track_60,7,2022,Artist_3
track_61,52,2022,Artist_3
track_62,70,2020,Artist_3
track_63,80,2020,Artist_3
track_64,60,2020,Artist_3
track_65,59,2024,Artist_3
track_66,71,2021,Artist_3
track_67,93,2023,Artist_3
track_68,100,2020,Artist_3
track_69,10,2020,Artist_3
track_70,83,2023,Artist_3
track_71,21,2021,Artist_3
track_72,64,2024,Artist_3
track_73,97,2022,Artist_3
track_74,92,2022,Artist_3
track_75,92,2022,Artist_3
track_76,97,2022,Artist_3
track_77,55,2020,Artist_3
track_78,48,2023,Artist_3
track_79,52,2022,Artist_3
track_80,38,2023,Artist_4
track_81,61,2021,Artist_4
track_82,100,2020,Artist_4
track_83,44,2024,Artist_4
track_84,47,2022,Artist_4
track_85,100,2020,Artist_4
track_86,56,2021,Artist_4
track_87,80,2020,Artist_4
track_88,67,2022,Artist_4
track_89,54,2024,Artist_4
track_90,92,2022,Artist_4
track_91,39,2024,Artist_4
track_92,11,2021,Artist_4
track_93,23,2023,Artist_4
track_94,57,2022,Artist_4
track_95,78,2023,Artist_4
track_96,69,2024,Artist_4
track_97,55,2020,Artist_4
track_98,55,2020,Artist_4
track_99,73,2023,Artist_4
track_100,45,2020,Artist_5
track_101,76,2021,Artist_5
track_102,51,2021,Artist_5
track_103,27,2022,Artist_5
track_104,44,2024,Artist_5
track_105,92,2022,Artist_5
track_106,67,2022,Artist_5
track_107,77,2022,Artist_5
track_108,99,2024,Artist_5
track_109,59,2024,Artist_5
track_110,100,2020,Artist_5
track_111,52,2022,Artist_5
track_112,85,2020,Artist_5
track_113,100,2020,Artist_5
track_114,67,2022,Artist_5
track_115,19,2024,Artist_5
track_116,50,2020,Artist_5
track_117,74,2024,Artist_5
track_118,40,2020,Artist_5
track_119,45,2020,Artist_5
track_120,98,2023,Artist_6
track_121,60,2020,Artist_6
track_122,59,2024,Artist_6
track_123,53,2023,Artist_6
track_124,17,2022,Artist_6
track_125,75,2020,Artist_6
track_126,43,2023,Artist_6
track_127,100,2020,Artist_6
track_128,62,2022,Artist_6
track_129,86,2021,Artist_6
track_130,88,2023,Artist_6
track_131,56,2021,Artist_6
track_132,77,2022,Artist_6
track_133,48,2023,Artist_6
track_134,51,2021,Artist_6
track_135,66,2021,Artist_6
track_136,44,2024,Artist_6
track_137,78,2023,Artist_6
track_138,29,2024,Artist_6
track_139,85,2020,Artist_6
track_140,63,2023,Artist_7
track_141,69,2024,Artist_7
